WindowId,Day,Session,Method,Start Date,End Date,Fulfilment Centre,Fulfilment Type,Start Time,End Time,Web Cutoff Day,Web Cutoff Time,Pickup Day,Pickup Time,Region,Limit,IsDelete
0,Friday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,14:00,15:00,Thursday,23:00,Friday,10:04,1140 St Clair LOCAL,10,
0,Friday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,15:00,16:00,Thursday,23:00,Friday,10:05,1140 St Clair LOCAL,10,
85418,Friday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,16:00,17:00,Friday,11:00,Friday,14:31,1140 St Clair LOCAL,10,
0,Friday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,17:00,18:00,Friday,11:00,Friday,14:32,1140 St Clair LOCAL,10,
0,Friday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,18:00,19:00,Friday,11:00,Friday,14:33,1140 St Clair LOCAL,10,
0,Friday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,19:00,20:00,Friday,11:00,Friday,14:34,1140 St Clair LOCAL,10,
85412,Saturday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,11:00,12:00,Friday,23:00,Saturday,10:01,1140 St Clair LOCAL,10,
0,Saturday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,12:00,13:00,Friday,23:00,Saturday,10:02,1140 St Clair LOCAL,10,
0,Saturday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,13:00,14:00,Friday,23:00,Saturday,10:03,1140 St Clair LOCAL,10,
0,Saturday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,14:00,15:00,Friday,23:00,Saturday,10:04,1140 St Clair LOCAL,10,
0,Saturday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,15:00,16:00,Friday,23:00,Saturday,10:05,1140 St Clair LOCAL,10,
85419,Saturday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,16:00,17:00,Saturday,11:00,Saturday,14:31,1140 St Clair LOCAL,10,
0,Saturday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,17:00,18:00,Saturday,11:00,Saturday,14:32,1140 St Clair LOCAL,10,
0,Saturday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,18:00,19:00,Saturday,11:00,Saturday,14:33,1140 St Clair LOCAL,10,
0,Saturday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,19:00,20:00,Saturday,11:00,Saturday,14:34,1140 St Clair LOCAL,10,
